Name,base_happiness,capture_rate,forms_switchable,gender_rate,has_gender_differences,hatch_counter,is_baby,is_legendary,is_mythical
gloom,50.0,120,False,4,True,20.0,False,False,False
vileplume,50.0,45,False,4,True,20.0,False,False,False
paras,70.0,190,False,4,False,20.0,False,False,False
parasect,70.0,75,False,4,False,20.0,False,False,False
venonat,70.0,190,False,4,False,20.0,False,False,False
venomoth,70.0,75,False,4,False,20.0,False,False,False
diglett,50.0,255,False,4,False,20.0,False,False,False
dugtrio,50.0,50,False,4,False,20.0,False,False,False
meowth,50.0,255,False,4,False,20.0,False,False,False
persian,50.0,90,False,4,False,20.0,False,False,False
psyduck,50.0,190,False,4,False,20.0,False,False,False
golduck,50.0,75,False,4,False,20.0,False,False,False
mankey,70.0,190,False,4,False,20.0,False,False,False
primeape,70.0,75,False,4,False,20.0,False,False,False
growlithe,50.0,190,False,2,False,20.0,False,False,False
arcanine,50.0,75,False,2,False,20.0,False,False,False
poliwag,50.0,255,False,4,False,20.0,False,False,False
poliwhirl,50.0,120,False,4,False,20.0,False,False,False
poliwrath,50.0,45,False,4,False,20.0,False,False,False
abra,50.0,200,False,2,False,20.0,False,False,False
kadabra,50.0,100,False,2,True,20.0,False,False,False
alakazam,50.0,50,True,2,True,20.0,False,False,False
machop,50.0,180,False,2,False,20.0,False,False,False
machoke,50.0,90,False,2,False,20.0,False,False,False
machamp,50.0,45,False,2,False,20.0,False,False,False
bellsprout,70.0,255,False,4,False,20.0,False,False,False
weepinbell,70.0,120,False,4,False,20.0,False,False,False
victreebel,70.0,45,False,4,False,20.0,False,False,False
tentacool,50.0,190,False,4,False,20.0,False,False,False
tentacruel,50.0,60,False,4,False,20.0,False,False,False
geodude,70.0,255,False,4,False,15.0,False,False,False
graveler,70.0,120,False,4,False,15.0,False,False,False
golem,70.0,45,False,4,False,15.0,False,False,False
ponyta,50.0,190,False,4,False,20.0,False,False,False
rapidash,50.0,60,False,4,False,20.0,False,False,False
slowpoke,50.0,190,False,4,False,20.0,False,False,False
slowbro,50.0,75,True,4,False,20.0,False,False,False
magnemite,50.0,190,False,-1,False,20.0,False,False,False
magneton,50.0,60,False,-1,False,20.0,False,False,False
farfetchd,50.0,45,False,4,False,20.0,False,False,False
doduo,70.0,190,False,4,True,20.0,False,False,False
dodrio,70.0,45,False,4,True,20.0,False,False,False
seel,70.0,190,False,4,False,20.0,False,False,False
dewgong,70.0,75,False,4,False,20.0,False,False,False
grimer,70.0,190,False,4,False,20.0,False,False,False
muk,70.0,75,False,4,False,20.0,False,False,False
shellder,50.0,190,False,4,False,20.0,False,False,False
cloyster,50.0,60,False,4,False,20.0,False,False,False
gastly,50.0,190,False,4,False,20.0,False,False,False
haunter,50.0,90,False,4,False,20.0,False,False,False
gengar,50.0,45,True,4,False,20.0,False,False,False
onix,50.0,45,False,4,False,25.0,False,False,False
drowzee,70.0,190,False,4,False,20.0,False,False,False
hypno,70.0,75,False,4,True,20.0,False,False,False
krabby,50.0,225,False,4,False,20.0,False,False,False
kingler,50.0,60,False,4,False,20.0,False,False,False
voltorb,70.0,190,False,-1,False,20.0,False,False,False
electrode,70.0,60,False,-1,False,20.0,False,False,False
exeggcute,50.0,90,False,4,False,20.0,False,False,False
exeggutor,50.0,45,False,4,False,20.0,False,False,False
cubone,50.0,190,False,4,False,20.0,False,False,False
marowak,50.0,75,False,4,False,20.0,False,False,False
hitmonlee,50.0,45,False,0,False,25.0,False,False,False
hitmonchan,50.0,45,False,0,False,25.0,False,False,False
lickitung,50.0,45,False,4,False,20.0,False,False,False
koffing,50.0,190,False,4,False,20.0,False,False,False
weezing,50.0,60,False,4,False,20.0,False,False,False
rhyhorn,50.0,120,False,4,True,20.0,False,False,False
rhydon,50.0,60,False,4,True,20.0,False,False,False
chansey,140.0,30,False,8,False,40.0,False,False,False
tangela,50.0,45,False,4,False,20.0,False,False,False
kangaskhan,50.0,45,True,8,False,20.0,False,False,False
horsea,50.0,225,False,4,False,20.0,False,False,False
seadra,50.0,75,False,4,False,20.0,False,False,False
goldeen,50.0,225,False,4,True,20.0,False,False,False
seaking,50.0,60,False,4,True,20.0,False,False,False
staryu,50.0,225,False,-1,False,20.0,False,False,False
starmie,50.0,60,False,-1,False,20.0,False,False,False
mr-mime,50.0,45,False,4,False,25.0,False,False,False
scyther,50.0,45,False,4,True,25.0,False,False,False
jynx,50.0,45,False,8,False,25.0,False,False,False
electabuzz,50.0,45,False,2,False,25.0,False,False,False
magmar,50.0,45,False,2,False,25.0,False,False,False
pinsir,50.0,45,True,4,False,25.0,False,False,False
tauros,50.0,45,False,0,False,20.0,False,False,False
magikarp,50.0,255,False,4,True,5.0,False,False,False
gyarados,50.0,45,True,4,True,5.0,False,False,False
lapras,50.0,45,False,4,False,40.0,False,False,False
ditto,50.0,35,False,-1,False,20.0,False,False,False
eevee,50.0,45,False,1,True,35.0,False,False,False
vaporeon,50.0,45,False,1,False,35.0,False,False,False
jolteon,50.0,45,False,1,False,35.0,False,False,False
flareon,50.0,45,False,1,False,35.0,False,False,False
porygon,50.0,45,False,-1,False,20.0,False,False,False
omanyte,50.0,45,False,1,False,30.0,False,False,False
omastar,50.0,45,False,1,False,30.0,False,False,False
kabuto,50.0,45,False,1,False,30.0,False,False,False
kabutops,50.0,45,False,1,False,30.0,False,False,False
aerodactyl,50.0,45,True,1,False,35.0,False,False,False
snorlax,50.0,25,False,1,False,40.0,False,False,False
articuno,35.0,3,False,-1,False,80.0,False,True,False
zapdos,35.0,3,False,-1,False,80.0,False,True,False
moltres,35.0,3,False,-1,False,80.0,False,True,False
dratini,35.0,45,False,4,False,40.0,False,False,False
dragonair,35.0,45,False,4,False,40.0,False,False,False
dragonite,35.0,45,False,4,False,40.0,False,False,False
mewtwo,0.0,3,True,-1,False,120.0,False,True,False
mew,100.0,45,False,-1,False,120.0,False,False,True
chikorita,70.0,45,False,1,False,20.0,False,False,False
bayleef,70.0,45,False,1,False,20.0,False,False,False
meganium,70.0,45,False,1,True,20.0,False,False,False
cyndaquil,70.0,45,False,1,False,20.0,False,False,False
quilava,70.0,45,False,1,False,20.0,False,False,False
typhlosion,70.0,45,False,1,False,20.0,False,False,False
totodile,70.0,45,False,1,False,20.0,False,False,False
croconaw,70.0,45,False,1,False,20.0,False,False,False
feraligatr,70.0,45,False,1,False,20.0,False,False,False
sentret,70.0,255,False,4,False,15.0,False,False,False
furret,70.0,90,False,4,False,15.0,False,False,False
hoothoot,50.0,255,False,4,False,15.0,False,False,False
noctowl,50.0,90,False,4,False,15.0,False,False,False
ledyba,70.0,255,False,4,True,15.0,False,False,False
ledian,70.0,90,False,4,True,15.0,False,False,False
spinarak,70.0,255,False,4,False,15.0,False,False,False
ariados,70.0,90,False,4,False,15.0,False,False,False
crobat,50.0,90,False,4,False,15.0,False,False,False
chinchou,50.0,190,False,4,False,20.0,False,False,False
lanturn,50.0,75,False,4,False,20.0,False,False,False
pichu,50.0,190,False,4,False,10.0,True,False,False
cleffa,140.0,150,False,6,False,10.0,True,False,False
igglybuff,50.0,170,False,6,False,10.0,True,False,False
togepi,50.0,190,False,1,False,10.0,True,False,False
togetic,50.0,75,False,1,False,10.0,False,False,False
natu,50.0,190,False,4,False,20.0,False,False,False
xatu,50.0,75,False,4,True,20.0,False,False,False
mareep,70.0,235,False,4,False,20.0,False,False,False
flaaffy,70.0,120,False,4,False,20.0,False,False,False
ampharos,70.0,45,True,4,False,20.0,False,False,False
bellossom,50.0,45,False,4,False,20.0,False,False,False
marill,50.0,190,False,4,False,10.0,False,False,False
azumarill,50.0,75,False,4,False,10.0,False,False,False
sudowoodo,50.0,65,False,4,True,20.0,False,False,False
politoed,50.0,45,False,4,True,20.0,False,False,False
hoppip,70.0,255,False,4,False,20.0,False,False,False
skiploom,70.0,120,False,4,False,20.0,False,False,False
jumpluff,70.0,45,False,4,False,20.0,False,False,False
aipom,70.0,45,False,4,True,20.0,False,False,False
sunkern,70.0,235,False,4,False,20.0,False,False,False
sunflora,70.0,120,False,4,False,20.0,False,False,False
yanma,70.0,75,False,4,False,20.0,False,False,False
wooper,50.0,255,False,4,True,20.0,False,False,False
quagsire,50.0,90,False,4,True,20.0,False,False,False
espeon,50.0,45,False,1,False,35.0,False,False,False
umbreon,35.0,45,False,1,False,35.0,False,False,False
murkrow,35.0,30,False,4,True,20.0,False,False,False
slowking,50.0,70,False,4,False,20.0,False,False,False
misdreavus,35.0,45,False,4,False,25.0,False,False,False
unown,70.0,225,False,-1,False,40.0,False,False,False
wobbuffet,50.0,45,False,4,True,20.0,False,False,False
girafarig,70.0,60,False,4,True,20.0,False,False,False
pineco,70.0,190,False,4,False,20.0,False,False,False
forretress,70.0,75,False,4,False,20.0,False,False,False
dunsparce,50.0,190,False,4,False,20.0,False,False,False
gligar,70.0,60,False,4,True,20.0,False,False,False
steelix,50.0,25,True,4,True,25.0,False,False,False
snubbull,70.0,190,False,6,False,20.0,False,False,False
granbull,70.0,75,False,6,False,20.0,False,False,False
qwilfish,50.0,45,False,4,False,20.0,False,False,False
scizor,50.0,25,True,4,True,25.0,False,False,False
shuckle,50.0,190,False,4,False,20.0,False,False,False
heracross,50.0,45,True,4,True,25.0,False,False,False
sneasel,35.0,60,False,4,True,20.0,False,False,False
teddiursa,70.0,120,False,4,False,20.0,False,False,False
ursaring,70.0,60,False,4,True,20.0,False,False,False
slugma,70.0,190,False,4,False,20.0,False,False,False
magcargo,70.0,75,False,4,False,20.0,False,False,False
swinub,50.0,225,False,4,False,20.0,False,False,False
piloswine,50.0,75,False,4,True,20.0,False,False,False
corsola,50.0,60,False,6,False,20.0,False,False,False
remoraid,50.0,190,False,4,False,20.0,False,False,False
octillery,50.0,75,False,4,True,20.0,False,False,False
delibird,50.0,45,False,4,False,20.0,False,False,False
mantine,50.0,25,False,4,False,25.0,False,False,False
skarmory,50.0,25,False,4,False,25.0,False,False,False
houndour,35.0,120,False,4,False,20.0,False,False,False
houndoom,35.0,45,True,4,True,20.0,False,False,False
kingdra,50.0,45,False,4,False,20.0,False,False,False
phanpy,70.0,120,False,4,False,20.0,False,False,False
donphan,70.0,60,False,4,True,20.0,False,False,False
porygon2,50.0,45,False,-1,False,20.0,False,False,False
stantler,70.0,45,False,4,False,20.0,False,False,False
smeargle,70.0,45,False,4,False,20.0,False,False,False
tyrogue,50.0,75,False,0,False,25.0,True,False,False
hitmontop,50.0,45,False,0,False,25.0,False,False,False
smoochum,50.0,45,False,8,False,25.0,True,False,False
elekid,50.0,45,False,2,False,25.0,True,False,False
magby,50.0,45,False,2,False,25.0,True,False,False
miltank,50.0,45,False,8,False,20.0,False,False,False
blissey,140.0,30,False,8,False,40.0,False,False,False
raikou,35.0,3,False,-1,False,80.0,False,True,False
entei,35.0,3,False,-1,False,80.0,False,True,False
suicune,35.0,3,False,-1,False,80.0,False,True,False
larvitar,35.0,45,False,4,False,40.0,False,False,False
pupitar,35.0,45,False,4,False,40.0,False,False,False
tyranitar,35.0,45,True,4,False,40.0,False,False,False
lugia,0.0,3,False,-1,False,120.0,False,True,False
ho-oh,0.0,3,False,-1,False,120.0,False,True,False
celebi,100.0,45,False,-1,False,120.0,False,False,True
treecko,50.0,45,False,1,False,20.0,False,False,False
grovyle,50.0,45,False,1,False,20.0,False,False,False
sceptile,50.0,45,True,1,False,20.0,False,False,False
torchic,50.0,45,False,1,True,20.0,False,False,False
combusken,50.0,45,False,1,True,20.0,False,False,False
blaziken,50.0,45,True,1,True,20.0,False,False,False
mudkip,50.0,45,False,1,False,20.0,False,False,False
marshtomp,50.0,45,False,1,False,20.0,False,False,False
swampert,50.0,45,True,1,False,20.0,False,False,False
poochyena,70.0,255,False,4,False,15.0,False,False,False
mightyena,70.0,127,False,4,False,15.0,False,False,False
zigzagoon,50.0,255,False,4,False,15.0,False,False,False
linoone,50.0,90,False,4,False,15.0,False,False,False
wurmple,70.0,255,False,4,False,15.0,False,False,False
silcoon,70.0,120,False,4,False,15.0,False,False,False
beautifly,70.0,45,False,4,True,15.0,False,False,False
cascoon,70.0,120,False,4,False,15.0,False,False,False
dustox,70.0,45,False,4,True,15.0,False,False,False
lotad,50.0,255,False,4,False,15.0,False,False,False
lombre,50.0,120,False,4,False,15.0,False,False,False
ludicolo,50.0,45,False,4,True,15.0,False,False,False
seedot,50.0,255,False,4,False,15.0,False,False,False
nuzleaf,50.0,120,False,4,True,15.0,False,False,False
shiftry,50.0,45,False,4,True,15.0,False,False,False
taillow,70.0,200,False,4,False,15.0,False,False,False
swellow,70.0,45,False,4,False,15.0,False,False,False
wingull,50.0,190,False,4,False,20.0,False,False,False
pelipper,50.0,45,False,4,False,20.0,False,False,False
ralts,35.0,235,False,4,False,20.0,False,False,False
kirlia,35.0,120,False,4,False,20.0,False,False,False
gardevoir,35.0,45,True,4,False,20.0,False,False,False
surskit,70.0,200,False,4,False,15.0,False,False,False
masquerain,70.0,75,False,4,False,15.0,False,False,False
shroomish,70.0,255,False,4,False,15.0,False,False,False
breloom,70.0,90,False,4,False,15.0,False,False,False
slakoth,70.0,255,False,4,False,15.0,False,False,False
vigoroth,70.0,120,False,4,False,15.0,False,False,False
slaking,70.0,45,False,4,False,15.0,False,False,False
nincada,50.0,255,False,4,False,15.0,False,False,False
ninjask,50.0,120,False,4,False,15.0,False,False,False
shedinja,50.0,45,False,-1,False,15.0,False,False,False
whismur,50.0,190,False,4,False,20.0,False,False,False
loudred,50.0,120,False,4,False,20.0,False,False,False
exploud,50.0,45,False,4,False,20.0,False,False,False
makuhita,70.0,180,False,2,False,20.0,False,False,False
hariyama,70.0,200,False,2,False,20.0,False,False,False
azurill,50.0,150,False,6,False,10.0,True,False,False
nosepass,70.0,255,False,4,False,20.0,False,False,False
skitty,70.0,255,False,6,False,15.0,False,False,False
delcatty,70.0,60,False,6,False,15.0,False,False,False
sableye,35.0,45,True,4,False,25.0,False,False,False
mawile,50.0,45,True,4,False,20.0,False,False,False
aron,35.0,180,False,4,False,35.0,False,False,False
lairon,35.0,90,False,4,False,35.0,False,False,False
aggron,35.0,45,True,4,False,35.0,False,False,False
meditite,70.0,180,False,4,True,20.0,False,False,False
medicham,70.0,90,True,4,True,20.0,False,False,False
electrike,50.0,120,False,4,False,20.0,False,False,False
manectric,50.0,45,True,4,False,20.0,False,False,False
plusle,70.0,200,False,4,False,20.0,False,False,False
minun,70.0,200,False,4,False,20.0,False,False,False
volbeat,70.0,150,False,0,False,15.0,False,False,False
illumise,70.0,150,False,8,False,15.0,False,False,False
roselia,50.0,150,False,4,True,20.0,False,False,False
gulpin,70.0,225,False,4,True,20.0,False,False,False
swalot,70.0,75,False,4,True,20.0,False,False,False
carvanha,35.0,225,False,4,False,20.0,False,False,False
sharpedo,35.0,60,True,4,False,20.0,False,False,False
wailmer,50.0,125,False,4,False,40.0,False,False,False
wailord,50.0,60,False,4,False,40.0,False,False,False
numel,70.0,255,False,4,True,20.0,False,False,False
camerupt,70.0,150,True,4,True,20.0,False,False,False
torkoal,50.0,90,False,4,False,20.0,False,False,False
spoink,70.0,255,False,4,False,20.0,False,False,False
grumpig,70.0,60,False,4,False,20.0,False,False,False
spinda,70.0,255,False,4,False,15.0,False,False,False
trapinch,50.0,255,False,4,False,20.0,False,False,False
vibrava,50.0,120,False,4,False,20.0,False,False,False
flygon,50.0,45,False,4,False,20.0,False,False,False
cacnea,35.0,190,False,4,False,20.0,False,False,False
cacturne,35.0,60,False,4,True,20.0,False,False,False
swablu,50.0,255,False,4,False,20.0,False,False,False
altaria,50.0,45,True,4,False,20.0,False,False,False
zangoose,70.0,90,False,4,False,20.0,False,False,False
seviper,70.0,90,False,4,False,20.0,False,False,False
lunatone,50.0,45,False,-1,False,25.0,False,False,False
solrock,50.0,45,False,-1,False,25.0,False,False,False
barboach,50.0,190,False,4,False,20.0,False,False,False
whiscash,50.0,75,False,4,False,20.0,False,False,False
corphish,50.0,205,False,4,False,15.0,False,False,False
crawdaunt,50.0,155,False,4,False,15.0,False,False,False
baltoy,50.0,255,False,-1,False,20.0,False,False,False
claydol,50.0,90,False,-1,False,20.0,False,False,False
lileep,50.0,45,False,1,False,30.0,False,False,False
cradily,50.0,45,False,1,False,30.0,False,False,False
anorith,50.0,45,False,1,False,30.0,False,False,False
armaldo,50.0,45,False,1,False,30.0,False,False,False
feebas,50.0,255,False,4,False,20.0,False,False,False
milotic,50.0,60,False,4,True,20.0,False,False,False
castform,70.0,45,True,4,False,25.0,False,False,False
kecleon,70.0,200,False,4,False,20.0,False,False,False
shuppet,35.0,225,False,4,False,25.0,False,False,False
banette,35.0,45,True,4,False,25.0,False,False,False
duskull,35.0,190,False,4,False,25.0,False,False,False
dusclops,35.0,90,False,4,False,25.0,False,False,False
tropius,70.0,200,False,4,False,25.0,False,False,False
chimecho,70.0,45,False,4,False,25.0,False,False,False
absol,35.0,30,True,4,False,25.0,False,False,False
wynaut,50.0,125,False,4,False,20.0,True,False,False
snorunt,50.0,190,False,4,False,20.0,False,False,False
glalie,50.0,75,True,4,False,20.0,False,False,False
spheal,50.0,255,False,4,False,20.0,False,False,False
sealeo,50.0,120,False,4,False,20.0,False,False,False
walrein,50.0,45,False,4,False,20.0,False,False,False
clamperl,70.0,255,False,4,False,20.0,False,False,False
huntail,70.0,60,False,4,False,20.0,False,False,False
gorebyss,70.0,60,False,4,False,20.0,False,False,False
relicanth,50.0,25,False,1,True,40.0,False,False,False
luvdisc,70.0,225,False,6,False,20.0,False,False,False
bagon,35.0,45,False,4,False,40.0,False,False,False
shelgon,35.0,45,False,4,False,40.0,False,False,False
salamence,35.0,45,True,4,False,40.0,False,False,False
beldum,35.0,3,False,-1,False,40.0,False,False,False
metang,35.0,3,False,-1,False,40.0,False,False,False
metagross,35.0,3,True,-1,False,40.0,False,False,False
regirock,35.0,3,False,-1,False,80.0,False,True,False
regice,35.0,3,False,-1,False,80.0,False,True,False
registeel,35.0,3,False,-1,False,80.0,False,True,False
latias,90.0,3,True,8,False,120.0,False,True,False
latios,90.0,3,True,0,False,120.0,False,True,False
kyogre,0.0,3,True,-1,False,120.0,False,True,False
groudon,0.0,3,True,-1,False,120.0,False,True,False
rayquaza,0.0,45,True,-1,False,120.0,False,True,False
jirachi,100.0,3,False,-1,False,120.0,False,False,True
deoxys,0.0,3,True,-1,False,120.0,False,False,True
turtwig,70.0,45,False,1,False,20.0,False,False,False
grotle,70.0,45,False,1,False,20.0,False,False,False
torterra,70.0,45,False,1,False,20.0,False,False,False
chimchar,70.0,45,False,1,False,20.0,False,False,False
monferno,70.0,45,False,1,False,20.0,False,False,False
infernape,70.0,45,False,1,False,20.0,False,False,False
piplup,70.0,45,False,1,False,20.0,False,False,False
prinplup,70.0,45,False,1,False,20.0,False,False,False
empoleon,70.0,45,False,1,False,20.0,False,False,False
starly,70.0,255,False,4,True,15.0,False,False,False
staravia,70.0,120,False,4,True,15.0,False,False,False
staraptor,70.0,45,False,4,True,15.0,False,False,False
bidoof,70.0,255,False,4,True,15.0,False,False,False
bibarel,70.0,127,False,4,True,15.0,False,False,False
kricketot,70.0,255,False,4,True,15.0,False,False,False
kricketune,70.0,45,False,4,True,15.0,False,False,False
shinx,50.0,235,False,4,True,20.0,False,False,False
luxio,100.0,120,False,4,True,20.0,False,False,False
luxray,50.0,45,False,4,True,20.0,False,False,False
budew,50.0,255,False,4,False,20.0,True,False,False
roserade,50.0,75,False,4,True,20.0,False,False,False
cranidos,70.0,45,False,1,False,30.0,False,False,False
rampardos,70.0,45,False,1,False,30.0,False,False,False
shieldon,70.0,45,False,1,False,30.0,False,False,False
bastiodon,70.0,45,False,1,False,30.0,False,False,False
burmy,70.0,120,True,4,False,15.0,False,False,False
wormadam,70.0,45,False,8,False,15.0,False,False,False
mothim,70.0,45,False,0,False,15.0,False,False,False
combee,50.0,120,False,1,True,15.0,False,False,False
vespiquen,50.0,45,False,8,False,15.0,False,False,False
pachirisu,100.0,200,False,4,True,10.0,False,False,False
buizel,70.0,190,False,4,True,20.0,False,False,False
floatzel,70.0,75,False,4,True,20.0,False,False,False
cherubi,50.0,190,False,4,False,20.0,False,False,False
cherrim,50.0,75,True,4,False,20.0,False,False,False
shellos,50.0,190,False,4,False,20.0,False,False,False
gastrodon,50.0,75,False,4,False,20.0,False,False,False
ambipom,100.0,45,False,4,True,20.0,False,False,False
drifloon,50.0,125,False,4,False,30.0,False,False,False
drifblim,50.0,60,False,4,False,30.0,False,False,False
buneary,0.0,190,False,4,False,20.0,False,False,False
lopunny,140.0,60,True,4,False,20.0,False,False,False
mismagius,35.0,45,False,4,False,25.0,False,False,False
honchkrow,35.0,30,False,4,False,20.0,False,False,False
glameow,70.0,190,False,6,False,20.0,False,False,False
purugly,70.0,75,False,6,False,20.0,False,False,False
chingling,70.0,120,False,4,False,25.0,True,False,False
stunky,50.0,225,False,4,False,20.0,False,False,False
skuntank,50.0,60,False,4,False,20.0,False,False,False
bronzor,50.0,255,False,-1,False,20.0,False,False,False
bronzong,50.0,90,False,-1,False,20.0,False,False,False
bonsly,50.0,255,False,4,False,20.0,True,False,False
mime-jr,50.0,145,False,4,False,25.0,True,False,False
happiny,140.0,130,False,8,False,40.0,True,False,False
chatot,35.0,30,False,4,False,20.0,False,False,False
spiritomb,50.0,100,False,4,False,30.0,False,False,False
gible,50.0,45,False,4,True,40.0,False,False,False
gabite,50.0,45,False,4,True,40.0,False,False,False
garchomp,50.0,45,True,4,True,40.0,False,False,False
munchlax,50.0,50,False,1,False,40.0,True,False,False
riolu,50.0,75,False,1,False,25.0,True,False,False
lucario,50.0,45,True,1,False,25.0,False,False,False
hippopotas,50.0,140,False,4,True,30.0,False,False,False
hippowdon,50.0,60,False,4,True,30.0,False,False,False
skorupi,50.0,120,False,4,False,20.0,False,False,False
drapion,50.0,45,False,4,False,20.0,False,False,False
croagunk,100.0,140,False,4,True,10.0,False,False,False
toxicroak,50.0,75,False,4,True,20.0,False,False,False
carnivine,70.0,200,False,4,False,25.0,False,False,False
finneon,70.0,190,False,4,True,20.0,False,False,False
lumineon,70.0,75,False,4,True,20.0,False,False,False
mantyke,50.0,25,False,4,False,25.0,True,False,False
snover,50.0,120,False,4,True,20.0,False,False,False
abomasnow,50.0,60,True,4,True,20.0,False,False,False
weavile,35.0,45,False,4,True,20.0,False,False,False
magnezone,50.0,30,False,-1,False,20.0,False,False,False
lickilicky,50.0,30,False,4,False,20.0,False,False,False
rhyperior,50.0,30,False,4,True,20.0,False,False,False
tangrowth,50.0,30,False,4,True,20.0,False,False,False
electivire,50.0,30,False,2,False,25.0,False,False,False
magmortar,50.0,30,False,2,False,25.0,False,False,False
togekiss,50.0,30,False,1,False,10.0,False,False,False
yanmega,70.0,30,False,4,False,20.0,False,False,False
leafeon,35.0,45,False,1,False,35.0,False,False,False
glaceon,35.0,45,False,1,False,35.0,False,False,False
gliscor,70.0,30,False,4,False,20.0,False,False,False
mamoswine,50.0,50,False,4,True,20.0,False,False,False
porygon-z,50.0,30,False,-1,False,20.0,False,False,False
gallade,35.0,45,True,0,False,20.0,False,False,False
probopass,70.0,60,False,4,False,20.0,False,False,False
dusknoir,35.0,45,False,4,False,25.0,False,False,False
froslass,50.0,75,False,8,False,20.0,False,False,False
rotom,50.0,45,True,-1,False,20.0,False,False,False
uxie,140.0,3,False,-1,False,80.0,False,True,False
mesprit,140.0,3,False,-1,False,80.0,False,True,False
azelf,140.0,3,False,-1,False,80.0,False,True,False
dialga,0.0,3,False,-1,False,120.0,False,True,False
palkia,0.0,3,False,-1,False,120.0,False,True,False
heatran,100.0,3,False,4,False,10.0,False,True,False
regigigas,0.0,3,False,-1,False,120.0,False,True,False
giratina,0.0,3,True,-1,False,120.0,False,True,False
cresselia,100.0,3,False,8,False,120.0,False,True,False
phione,70.0,30,False,-1,False,40.0,False,False,True
manaphy,70.0,3,False,-1,False,10.0,False,False,True
darkrai,0.0,3,False,-1,False,120.0,False,False,True
shaymin,100.0,45,True,-1,False,120.0,False,False,True
arceus,0.0,3,True,-1,False,120.0,False,False,True
victini,100.0,3,False,-1,False,120.0,False,False,True
snivy,70.0,45,False,1,False,20.0,False,False,False
servine,70.0,45,False,1,False,20.0,False,False,False
serperior,70.0,45,False,1,False,20.0,False,False,False
tepig,70.0,45,False,1,False,20.0,False,False,False
pignite,70.0,45,False,1,False,20.0,False,False,False
emboar,70.0,45,False,1,False,20.0,False,False,False
oshawott,70.0,45,False,1,False,20.0,False,False,False
dewott,70.0,45,False,1,False,20.0,False,False,False
samurott,70.0,45,False,1,False,20.0,False,False,False
patrat,70.0,255,False,4,False,15.0,False,False,False
watchog,70.0,255,False,4,False,20.0,False,False,False
lillipup,50.0,255,False,4,False,15.0,False,False,False
herdier,50.0,120,False,4,False,15.0,False,False,False
stoutland,50.0,45,False,4,False,15.0,False,False,False
purrloin,50.0,255,False,4,False,20.0,False,False,False
liepard,50.0,90,False,4,False,20.0,False,False,False
pansage,70.0,190,False,1,False,20.0,False,False,False
simisage,70.0,75,False,1,False,20.0,False,False,False
pansear,70.0,190,False,1,False,20.0,False,False,False
simisear,70.0,75,False,1,False,20.0,False,False,False
panpour,70.0,190,False,1,False,20.0,False,False,False
simipour,70.0,75,False,1,False,20.0,False,False,False
munna,50.0,190,False,4,False,10.0,False,False,False
musharna,50.0,75,False,4,False,10.0,False,False,False
pidove,50.0,255,False,4,False,15.0,False,False,False
